Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1101408",13,6,14,14,14,8,21,10,10,23,20,13,6,19,15,6,6,7,0,0,0,218,
"1101409",17,20,10,18,20,22,21,22,9,22,26,26,22,22,31,31,35,21,16,0,0,400,
"1101410",10,15,19,35,23,13,19,12,13,27,26,30,26,28,18,12,18,12,3,0,0,375,
"1101411",7,17,27,28,29,46,52,50,48,54,45,37,31,29,19,10,13,4,3,0,0,553,
"1101412",39,50,25,30,37,33,43,29,30,44,39,37,25,25,27,24,18,3,0,6,0,562,
"1101413",18,16,18,20,16,15,18,17,20,18,17,21,22,26,11,20,6,11,3,0,0,324,
"1101414",3,14,14,17,6,10,12,5,6,5,13,13,10,14,13,3,3,8,5,0,0,173,
"1101415",26,44,36,28,16,34,23,18,30,25,29,35,29,28,17,10,10,6,15,5,0,475,
"1101417",0,0,0,3,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,26,
"1101418",15,25,31,28,13,11,11,28,26,27,39,29,14,28,18,14,5,3,0,0,0,362,
"1101419",19,25,20,26,27,22,31,11,33,32,39,38,34,33,32,22,15,3,3,0,0,466,
"1101501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101502",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,
"1101503",17,15,19,16,3,12,8,8,8,12,14,26,18,22,20,7,10,0,3,0,0,230,
"1101505",0,0,4,4,3,0,3,4,4,7,12,8,12,11,6,8,0,3,0,0,0,86,
"1101511",3,15,8,7,7,4,12,5,10,12,16,24,21,18,20,11,10,0,0,0,0,204,
"1101512",3,8,3,8,0,5,0,0,15,3,9,12,27,15,16,4,9,5,0,0,0,146,
"1101514",5,15,15,22,10,7,8,4,14,18,14,10,4,11,10,11,6,0,0,0,0,178,
"1101515",4,17,32,13,8,0,4,12,20,34,9,23,21,19,14,17,4,4,0,0,0,259,
"1101516",3,10,12,5,8,5,11,8,10,8,19,13,13,10,4,5,4,4,0,0,0,151,
"1101517",5,7,14,12,9,10,8,9,11,18,13,13,13,12,11,6,4,0,0,0,0,172,
"1101518",8,18,13,32,9,9,11,6,22,30,27,17,22,16,21,12,4,0,4,0,0,287,
"1101519",18,31,16,23,5,3,17,18,20,23,20,33,30,20,18,3,7,0,0,0,0,322,
"1101520",11,10,3,5,5,5,10,9,18,13,9,15,11,18,14,4,0,0,4,0,0,153,
"1101521",13,26,20,22,5,9,7,13,21,27,33,30,35,21,21,13,7,0,0,0,0,324,
"1101522",16,21,23,30,14,15,9,27,28,28,21,41,23,18,13,4,5,3,0,0,0,348,
"1101523",8,10,11,9,7,3,5,16,13,18,25,7,13,16,14,6,0,4,0,0,0,190,
"1101524",6,6,14,3,4,5,0,9,15,22,13,17,20,30,24,19,5,9,3,0,0,223,
"1101601",3,5,4,7,19,25,8,16,3,4,0,8,5,5,0,0,0,0,0,0,0,104,
"1101602",26,27,29,18,20,35,18,30,24,32,31,31,27,20,18,10,12,3,3,0,0,438,
"1101603",12,22,20,16,6,5,3,24,13,20,26,19,20,28,26,13,9,7,0,0,0,283,
"1101604",6,12,16,14,7,8,19,12,20,11,14,6,25,14,16,10,3,0,0,0,0,215,
"1101605",3,16,28,21,7,18,8,8,20,19,24,29,13,13,4,4,3,4,0,0,0,241,
"1101606",25,29,43,23,17,18,27,32,29,47,40,48,36,38,14,8,4,3,0,0,0,487,
"1101607",7,14,7,7,12,5,7,3,19,12,22,26,18,22,14,8,7,0,0,0,0,205,
"1101608",14,18,36,21,11,14,19,13,30,29,36,27,19,23,7,11,3,0,0,0,0,311,
"1101609",19,25,7,18,27,42,38,29,24,18,17,13,11,7,5,0,0,0,0,0,0,300,
"1101610",33,73,68,49,35,24,27,52,85,65,54,61,58,55,18,19,6,3,0,0,0,782,
"1101611",4,24,13,6,34,41,37,28,39,36,31,35,22,12,6,3,3,0,0,0,0,390,
"1101612",0,6,0,7,4,7,7,5,6,6,3,8,4,5,0,0,0,0,0,0,0,72,
"1101613",16,17,27,27,3,3,11,4,23,41,9,5,17,13,6,6,3,0,0,0,0,228,
"1101614",13,17,25,49,49,42,23,20,21,23,25,19,10,18,3,5,0,0,0,0,0,357,
"1101615",17,15,29,23,32,30,30,20,32,21,29,29,22,19,17,9,0,3,0,0,0,362,
"1101616",15,15,13,22,80,54,36,27,29,26,30,17,19,12,15,7,18,0,0,3,0,435,
"1101617",19,26,21,10,52,59,46,32,29,23,35,19,16,16,8,4,0,0,0,0,0,416,
"1101618",32,41,53,31,30,25,32,32,64,51,45,45,49,27,14,10,9,8,4,0,0,606,
"1101619",37,33,39,25,18,25,33,32,36,36,40,38,34,33,27,10,15,6,0,0,0,517,
"1101620",10,8,11,10,14,37,14,8,19,24,18,9,6,5,9,0,0,3,0,0,0,203,
"1101701",28,31,21,23,25,15,20,30,17,37,39,36,41,46,42,47,36,21,28,7,0,600,
"1101702",15,31,24,19,20,11,16,7,12,21,10,15,11,14,10,4,8,5,0,0,0,253,
"1101703",11,12,27,12,14,9,12,14,11,21,20,19,42,60,28,24,22,31,19,3,0,396,
"1101704",21,25,23,14,17,23,24,21,35,17,33,27,29,36,40,16,23,5,0,0,0,421,
"1101705",14,11,14,17,8,9,12,15,11,18,17,20,13,17,17,17,4,6,0,0,0,238,
"1101706",17,17,11,15,18,32,20,25,24,25,24,27,38,37,50,37,39,37,7,6,0,496,
"1101707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"1101708",12,15,19,20,6,15,18,9,12,22,23,35,38,38,24,16,10,11,0,0,0,343,
"1101709",34,47,40,43,11,25,26,29,44,42,42,58,81,61,40,17,10,3,0,0,0,661,
"1101710",20,26,26,17,13,21,31,20,28,23,27,47,74,79,31,32,13,0,0,0,0,522,
