Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,,,,,,,,,,
CED (UR) by INDP - 1 Digit Level,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INDP - 1 Digit Level,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Health Care and Social Assistance,Education and Training,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,,,,,,,,,,,,
Bowman,570,806,5359,795,8344,2459,7239,3894,4130,908,1887,1343,4097,2511,4089,8872,5805,933,3024,2366,742,76849,147011
Brisbane,319,1711,2718,849,5115,1979,6989,8241,3732,1845,4443,2673,13045,3662,6891,12041,8108,2033,2693,2337,764,71686,163890
Capricornia,3112,8463,3705,1327,4673,1781,6213,4457,3679,377,782,938,2210,1978,3717,7476,6134,554,2854,1625,687,83981,150717
Dawson,3766,5778,4470,764,5278,2013,7201,6304,4081,461,1028,1173,2966,2385,4430,7943,5668,674,3167,2093,838,83824,156313
Dickson,327,746,4333,888,7153,2098,7418,4045,4031,970,2373,1112,5088,2401,6303,9622,6731,1102,3122,2207,726,73420,146216
Fadden,393,593,5041,498,9107,2046,8974,6418,3241,1144,1942,2191,4438,3346,3311,9616,5913,2201,3108,3064,937,92096,169599
Fairfax,1022,941,3265,624,8041,1496,7364,5785,2292,840,1868,1541,4040,2703,2819,10816,6294,1214,2724,2243,756,84788,153467
Fisher,1275,938,2987,619,7661,1236,6777,5094,2100,557,1688,1385,3211,2284,2651,8538,5291,1184,2402,2052,658,79573,140168
Flynn,6958,6410,5461,1594,5476,1469,5974,3990,4100,266,610,954,2587,1961,3139,5789,5252,413,2514,1894,809,87874,155484
Forde,542,551,6729,671,9874,2653,8091,4366,4477,798,1692,1471,3483,2788,3643,8426,5675,1291,3260,3029,984,91041,165537
Griffith,257,1427,3518,849,6074,2164,6568,6646,3272,1635,3960,2158,10413,3181,6101,12076,9269,1817,2713,2309,716,70476,157606
Groom,3241,1140,4613,737,5682,2048,6430,4080,2801,476,1819,990,3054,1652,4521,9988,7474,637,2768,1737,620,82343,148864
Herbert,396,1718,3297,1112,6025,1613,7248,5674,3457,912,1069,1158,3121,2322,10014,10859,6967,957,2800,1687,736,86864,159999
Hinkler,2552,862,2566,557,4045,881,6049,4057,1703,412,716,870,1698,1643,2583,8689,4532,446,1942,1386,650,92887,141717
Kennedy,8757,4706,3421,693,4568,1251,5948,3808,2712,341,702,705,1787,1873,4663,7049,5777,622,2599,1904,882,90605,155394
Leichhardt,1238,1970,2597,650,5946,1490,7753,8524,4838,589,1025,1515,3396,3466,6847,11031,7177,1601,3326,2102,949,97403,175451
Lilley,219,890,3971,1000,6033,2029,6916,5219,5493,1243,2784,1449,6578,2850,6887,11206,7142,1404,2833,2059,786,76386,155380
Longman,1946,788,4631,856,8045,1744,7712,4138,4151,612,1280,1185,2749,2321,3778,8297,4773,782,2863,2396,836,94710,160600
Maranoa,12265,1678,3706,1272,4708,1457,6038,3759,2795,342,697,634,1799,1350,3974,6529,5416,456,2300,1919,859,85313,149264
McPherson,323,509,3226,385,8153,1590,8186,6667,2408,1216,1828,2083,4640,2895,3218,9581,6693,2062,2738,2476,797,79911,151575
Moncrieff,308,389,3223,352,7593,1651,8280,9708,2689,1206,2082,2675,4790,3613,2931,9141,5548,2513,2982,2796,935,85327,160732
Moreton,382,639,4294,642,4618,2143,6692,6099,3529,1081,2397,1638,6893,2835,4906,10362,8135,1099,2634,2432,896,83730,158070
Oxley,380,680,6871,694,5056,2685,7071,4331,4444,915,2132,1271,4590,2434,5090,9353,6236,744,3110,2598,1037,91496,163207
Petrie,314,737,4971,901,6960,2026,7682,4527,5088,949,2090,1402,4030,2484,5005,10822,5597,1004,2859,2393,856,90565,163268
Rankin,492,456,7208,643,7047,3153,8225,4655,5943,856,2067,1432,4055,2968,4133,9787,5880,863,3153,3161,1199,101775,179171
Ryan,359,1271,2447,776,4309,1612,6149,4862,2266,1391,3119,1677,10249,2336,6832,10303,10696,1433,2200,1807,502,78743,155348
Wide Bay,2642,869,3528,534,4998,1107,5977,4678,2150,501,761,1071,2349,1996,2678,7023,4770,674,2230,1830,690,91031,144096
Wright,4116,749,5276,842,8632,2186,6685,4067,4121,700,1250,1211,3383,2343,3860,7318,6123,1068,3114,2755,857,85800,156442
No usual address (Qld),422,91,156,29,301,50,183,375,151,28,26,39,132,155,129,241,140,74,101,165,96,9427,12515
Migratory - Offshore - Shipping (Qld),4,0,0,0,12,0,6,0,4,0,0,0,0,0,3,14,3,0,4,4,3,88,152
