Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Isaacs",57383,9921,180,287,6756,27338,1035,35,175,112,64,8094,724,8,9452,853,0,1693,1144,231,103,162,89,318,102,1645,3839,13560,3904,5475,3961,158653,
"Jagajaga",54276,8413,197,278,5470,23886,673,28,134,48,31,8132,516,13,8519,602,0,1314,624,179,90,104,35,139,72,1111,3301,11480,3490,3911,4235,141300,
"Kooyong",53093,7714,347,234,4475,22181,537,0,56,72,27,10601,519,0,6286,335,3,1770,639,110,59,163,64,243,81,1525,6931,13080,3560,4608,6098,145397,
"La Trobe",60728,10045,176,223,5813,30133,1182,64,171,73,33,9675,916,22,9799,1119,9,1179,1004,147,74,70,41,205,107,1303,2267,8806,3803,4714,3048,156961,
"Lalor",87492,12167,394,392,9402,50903,1862,40,354,242,125,11011,981,17,12389,1278,9,3039,1908,260,108,425,115,594,226,3001,4505,11178,4770,8925,3876,231980,
"Mallee",48252,9018,98,119,5434,20992,1251,116,271,118,70,4878,547,26,5926,484,15,916,453,240,91,64,52,105,103,966,3377,16219,5774,7361,5259,138597,
"Maribyrnong",58819,7975,343,259,7569,24903,768,26,151,155,99,9127,551,3,11479,669,9,2830,1200,268,131,374,127,457,215,2890,6703,13847,4279,6945,3244,166420,
"McEwen",78105,14039,268,375,8672,43750,1833,73,329,152,59,10258,1059,10,12393,1350,9,1785,1416,212,103,168,72,235,136,1753,2775,11447,5192,8583,3911,210529,
"McMillan",58098,12364,141,283,7335,29097,1679,119,295,132,51,6420,857,19,7897,953,5,1168,793,213,98,62,46,126,115,1260,2973,15995,6677,7770,4293,167327,
"Melbourne",40117,22069,1959,975,5297,16537,510,13,114,82,43,4342,292,3,4215,262,0,4855,437,127,73,565,114,225,208,3793,38308,29757,6199,14793,12295,208588,
"Melbourne Ports",41941,17836,1598,708,3938,16901,438,12,42,47,25,4435,293,0,3503,245,5,2322,296,97,56,246,50,109,94,1674,14892,25396,4552,11827,7140,160704,
"Menzies",60054,4814,101,127,4795,21135,551,12,88,52,46,9641,598,8,9730,557,4,1246,1078,153,76,88,58,255,84,1403,2231,8367,3074,3099,4008,137534,
"Murray",50804,9451,94,103,5987,22787,1258,77,319,89,36,5426,569,18,6705,612,4,864,575,214,79,53,52,124,84,991,3209,15308,6417,7516,5557,145367,
"Scullin",67159,6988,145,170,7138,29812,827,31,231,115,71,9623,551,5,13691,864,9,1981,1366,279,104,234,85,320,193,1866,3469,8922,3616,5222,2889,167967,
"Wannon",46372,9366,95,151,5208,19991,1100,113,235,50,45,4565,545,20,5980,559,7,742,349,187,79,36,28,78,87,738,3278,15663,5780,6185,6151,133777,
"Wills",52630,13695,743,815,5942,24713,621,15,95,62,29,6464,401,0,8862,423,0,2510,773,202,108,300,101,237,156,2658,14205,17222,4562,7274,3823,169648,
"No usual address (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5926,0,1641,7572,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,
"Blair",47919,12831,218,344,8380,29255,2263,192,390,192,104,5451,828,24,8220,1044,17,1542,1091,317,140,120,90,193,151,2111,3994,11746,4780,7907,4468,156321,
"Bonner",55142,9431,233,302,6140,25869,1178,37,165,90,69,7421,674,16,8010,757,4,1633,1037,213,99,130,86,234,119,2160,4982,10795,3863,4167,4600,149634,
"Bowman",56740,10258,159,220,6306,24115,1646,86,200,88,42,6672,793,11,8272,1066,3,1122,1061,211,95,59,45,125,101,1634,2883,10888,4403,3593,4101,147011,
"Brisbane",43651,15973,1213,589,4132,19460,777,10,63,40,29,5468,406,6,3906,346,3,2524,359,96,57,199,62,138,91,2827,17987,20441,5355,8960,8729,163890,
"Capricornia",48453,11804,94,194,5979,26019,1598,140,286,118,66,4516,572,20,6498,705,0,1112,716,240,99,70,60,150,80,1339,3379,12728,5712,7919,10061,150717,
"Dawson",50549,12591,106,201,6114,25995,1581,120,315,79,57,4963,619,15,6545,712,6,1121,700,227,93,87,52,127,92,1362,4257,13747,5610,7220,11043,156313,
"Dickson",56480,10236,192,333,5924,28122,1634,76,206,88,51,7022,801,11,8128,912,3,1211,1044,202,81,79,52,156,104,1530,2653,8268,3679,3787,3144,146216,
"Fadden",57894,13889,234,285,7867,27546,1763,93,232,121,64,6548,863,6,8501,1077,9,1499,1222,243,96,119,68,207,122,2473,5970,12376,4443,9040,4730,169599,
