Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"SA1 (UR)",
"1103607",0,15,12,9,16,18,8,15,10,16,7,4,17,13,7,11,30,210,
"1103608",0,26,21,35,59,78,58,36,26,25,15,17,7,16,13,34,61,517,
"1103609",0,27,27,10,18,23,26,23,23,21,14,19,17,33,15,4,79,376,
"1103610",0,33,18,43,33,47,46,35,29,26,17,17,15,21,4,41,101,534,
"1103611",4,19,14,14,30,16,25,22,29,33,15,13,7,12,3,22,77,346,
"1103612",0,12,0,18,15,18,9,18,12,13,4,5,0,0,0,8,40,172,
"1103613",0,18,12,26,33,30,27,29,25,20,15,9,10,12,6,26,73,377,
"1103614",0,29,20,32,36,41,36,33,48,34,13,19,16,15,8,22,118,523,
"1103615",0,14,4,11,14,10,23,19,22,18,17,9,15,6,3,12,68,252,
"1103616",0,35,12,19,14,15,13,26,27,26,11,11,11,21,3,4,77,314,
"1103617",0,25,13,20,25,19,27,23,17,25,15,21,7,30,12,20,64,362,
"1103618",3,20,9,9,17,10,12,22,24,14,14,13,18,20,3,3,59,257,
"1103619",0,38,33,23,26,32,30,28,39,50,17,22,16,8,0,6,110,497,
"1103620",0,24,11,27,44,39,42,33,36,34,17,21,7,14,0,26,115,497,
"1103621",0,47,30,30,27,28,35,27,42,40,28,26,27,27,10,13,110,551,
"1103622",0,26,15,17,14,28,20,18,25,16,13,21,9,10,4,3,47,275,
"1103701",0,42,26,38,48,81,47,30,48,42,28,20,11,26,9,44,113,655,
"1103702",0,42,18,24,40,38,26,37,28,37,31,20,15,25,15,18,96,503,
"1103703",0,37,29,39,66,51,49,30,44,38,36,30,19,38,14,22,126,669,
"1103704",0,19,12,13,11,23,21,12,11,19,6,13,9,11,8,0,51,228,
"1103705",0,29,15,14,26,33,31,28,39,42,22,22,13,20,3,20,104,476,
"1103706",0,32,15,18,18,26,29,28,25,26,14,19,15,9,0,20,80,377,
"1103707",3,40,19,21,36,48,27,31,29,34,18,23,20,28,12,13,91,490,
"1103708",0,11,7,14,27,21,12,14,21,14,8,16,8,21,3,11,29,232,
"1103709",0,44,33,34,54,41,43,44,47,42,43,22,33,45,9,21,100,635,
"1103710",0,24,26,14,20,23,33,23,27,23,25,30,11,18,7,11,78,378,
"1103711",0,18,16,20,25,24,36,21,18,23,14,9,9,7,4,9,72,321,
